,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29
503,28,0,0,0,29,22,28,14,-1,0,0,22,0,23,7,0,21,11,0,0,0,20,0,0,9,-1,0,22,0,14
504,28,0,0,0,29,22,28,-1,18,0,0,0,9,2,7,0,21,0,0,0,24,20,11,18,9,26,0,-1,28,-1
505,28,0,0,-1,29,22,28,-1,18,0,-1,0,9,2,7,0,21,0,0,0,24,-1,11,18,9,26,0,0,28,14
506,28,-1,22,0,29,22,-1,0,8,0,0,6,0,23,-1,0,21,0,11,0,9,20,0,0,9,26,-1,22,0,14
507,28,0,22,0,29,22,28,0,8,-1,0,6,-1,23,7,0,21,-1,11,0,9,20,0,0,9,26,0,22,0,14
508,28,0,0,0,29,-1,28,14,0,0,0,11,24,0,7,21,21,20,0,0,0,20,-1,18,9,26,0,0,0,14
509,28,0,0,0,29,-1,28,14,0,0,0,-1,24,0,7,21,21,20,8,-1,0,20,-1,-1,9,26,0,0,0,14
510,28,8,0,0,29,22,28,14,0,-1,22,0,0,0,7,0,21,18,0,0,0,20,11,0,9,26,0,0,0,14
511,28,8,0,0,29,22,-1,14,0,0,-1,0,0,-1,-1,-1,21,18,0,0,0,20,11,0,9,26,0,0,0,14
512,-1,6,0,0,-1,22,28,-1,8,0,0,0,9,23,7,0,21,0,0,22,0,20,0,0,9,-1,0,22,0,14
514,28,0,28,0,29,22,28,0,8,0,0,-1,8,23,7,6,21,0,6,0,0,20,0,21,9,26,0,-1,0,14
515,28,0,28,0,29,22,28,-1,8,0,0,0,8,23,7,6,21,0,6,0,0,20,0,-1,9,26,0,22,0,14
516,28,0,0,11,29,22,28,0,8,0,0,0,0,23,7,0,21,0,0,0,0,-1,0,0,9,-1,0,22,-1,14
517,28,0,0,11,29,22,28,0,-1,0,0,-1,-1,23,7,0,-1,0,0,0,0,20,0,-1,9,26,-1,22,0,14
518,28,0,0,0,29,22,28,14,8,0,0,-1,0,23,7,0,21,0,-1,0,0,20,0,0,-1,26,0,22,0,14
519,28,0,0,0,29,22,28,14,8,0,-1,22,0,23,7,0,21,-1,0,0,0,20,0,0,9,26,0,22,0,14
521,28,18,0,23,29,22,28,14,0,-1,11,0,9,0,7,0,21,0,0,0,24,20,11,18,9,26,-1,0,28,14
522,28,0,0,0,29,22,28,-1,0,0,-1,0,0,0,-1,-1,21,0,0,0,0,20,11,0,-1,26,0,0,8,14
523,28,0,0,0,29,22,28,-1,0,0,0,0,0,0,7,0,21,0,0,0,0,20,-1,0,9,26,0,0,8,14
524,28,0,0,18,29,22,28,14,-1,0,-1,0,-1,0,7,0,21,0,0,0,0,20,11,0,9,-1,0,-1,8,14
525,28,0,0,-1,29,22,28,14,0,-1,-1,0,0,0,7,-1,21,0,0,0,0,20,11,0,9,26,0,0,8,14
526,28,0,0,0,29,22,-1,14,0,0,0,19,0,0,-1,0,21,0,21,0,0,20,11,0,-1,26,0,0,-1,14
527,-1,0,0,0,29,22,28,14,0,0,0,19,0,0,7,0,21,0,21,0,-1,20,11,0,9,26,0,0,-1,14
529,28,18,0,23,-1,22,28,14,0,0,11,-1,9,0,-1,0,-1,0,0,0,24,-1,11,18,9,26,0,0,-1,14
530,28,6,21,0,29,22,28,0,8,0,13,0,-1,23,7,0,21,0,-1,22,0,20,0,0,9,26,0,22,0,14
531,28,6,21,0,29,22,28,0,8,0,-1,0,9,23,7,-1,21,0,0,22,0,20,0,-1,9,26,0,22,0,-1
532,28,18,0,23,29,22,28,14,0,0,11,0,9,0,7,0,21,-1,0,0,24,20,-1,18,9,26,0,0,28,14
533,28,18,0,-1,29,22,28,14,0,0,11,0,9,0,7,0,21,0,0,0,24,20,11,18,9,26,0,0,28,14
534,28,0,-1,0,29,22,28,-1,18,0,0,0,0,-1,7,0,21,0,0,0,0,20,11,0,9,26,0,0,8,14
535,28,0,0,0,29,22,28,14,18,0,0,0,0,0,7,0,-1,0,0,0,0,20,11,0,-1,26,0,0,8,-1
536,-1,0,0,0,29,-1,28,14,0,0,0,0,0,0,7,0,21,0,0,0,0,20,11,0,9,26,22,0,8,14
537,-1,0,0,0,29,22,28,14,0,-1,0,0,0,0,7,0,21,0,0,0,0,20,-1,0,9,-1,-1,0,8,14
538,28,0,-1,0,29,-1,28,14,0,-1,0,0,-1,0,-1,0,21,0,21,0,0,20,-1,0,9,26,0,0,8,14
539,28,0,14,0,29,22,28,14,0,0,0,-1,0,0,7,0,21,0,-1,0,0,20,11,0,9,26,0,-1,8,14
540,28,14,28,-1,29,22,28,-1,8,0,0,0,-1,23,7,-1,21,0,0,0,0,20,0,-1,9,26,22,22,0,14
541,28,-1,28,-1,29,22,28,0,8,0,0,0,8,23,-1,0,21,-1,0,0,0,20,0,0,9,26,-1,22,0,-1
542,28,0,0,0,29,22,28,14,0,0,0,19,11,6,7,26,21,-1,21,0,0,20,11,0,9,26,-1,0,0,14
544,28,-1,20,0,-1,22,28,14,0,21,-1,0,9,0,7,0,21,0,8,0,24,20,11,-1,9,26,0,0,28,14
545,28,-1,20,0,29,22,28,14,0,-1,23,0,9,0,7,0,21,0,8,0,24,20,-1,18,-1,26,0,0,28,14
546,-1,0,0,0,29,22,28,0,-1,21,0,0,28,23,7,0,21,0,0,0,0,20,22,-1,9,26,0,22,0,14
547,28,0,0,0,-1,22,28,0,8,21,0,0,28,23,7,0,-1,21,0,0,0,20,22,0,9,26,0,22,0,-1
548,28,-1,-1,-1,-1,22,28,14,0,0,0,19,22,0,7,0,21,0,21,0,0,20,-1,0,9,26,0,0,0,14
549,-1,0,0,0,29,22,28,14,0,0,0,19,22,0,7,-1,21,0,21,0,0,20,-1,0,9,26,-1,0,-1,14
550,28,9,0,0,29,22,28,0,8,0,0,0,0,23,7,0,21,-1,-1,0,0,20,0,0,9,26,0,22,0,14
551,28,9,0,0,29,22,28,0,8,0,0,0,-1,23,7,0,21,-1,0,0,0,20,0,0,9,26,0,22,0,14
552,28,0,0,0,29,22,28,0,8,9,-1,0,0,23,7,0,21,0,0,0,22,20,0,0,9,26,0,22,0,14
553,28,0,0,0,29,22,28,0,8,9,-1,0,0,23,7,0,21,0,0,0,22,20,0,0,-1,-1,0,-1,0,14
